InChI,pTD50
"InChI=1S/C19H20O4/c1-2-3-13-22-18(20)16-11-7-8-12-17(16)19(21)23-14-15-9-5-4-6-10-15/h4-12H,2-3,13-14H2,1H3",2.47762165774831
"InChI=1S/C19H27NO6/c1-5-13-10-12(2)19(3,24)18(23)25-11-14-6-8-20(4)9-7-15(16(14)21)26-17(13)22/h5-6,12,15,24H,7-11H2,1-4H3",5.33234434267855
"InChI=1S/C19H27NO7/c1-11-9-19(12(2)27-19)17(23)26-14-6-8-20(4)7-5-13(15(14)21)10-25-16(22)18(11,3)24/h5,11-12,14,24H,6-10H2,1-4H3",5.61667276848548
"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3",3.53834552237071
"InChI=1S/C19H30O5/c1-3-5-7-20-8-9-21-10-11-22-14-17-13-19-18(23-15-24-19)12-16(17)6-4-2/h12-13H,3-11,14-15H2,1-2H3",2.72807605152009
"InChI=1S/C20H14N2O10S3/c23-16-7-5-11-9-12(33(24,25)26)10-18(35(30,31)32)19(11)20(16)22-21-15-6-8-17(34(27,28)29)14-4-2-1-3-13(14)15/h1-10,21H,(H,24,25,26)(H,27,28,29)(H,30,31,32)",1.34204430114055
"InChI=1S/C20H14N2O10S3/c23-20-18(35(30,31)32)10-11-9-12(33(24,25)26)5-6-13(11)19(20)22-21-16-7-8-17(34(27,28)29)15-4-2-1-3-14(15)16/h1-10,21H,(H,24,25,26)(H,27,28,29)(H,30,31,32)",2.56389305075691
"InChI=1S/C20H14O4/c21-15-9-5-13(6-10-15)20(14-7-11-16(22)12-8-14)18-4-2-1-3-17(18)19(23)24-20/h1-12,21-22H",2.547661208712
"InChI=1S/C20H16O8/c1-23-10-7-11-13(8-4-5-26-20(8)27-11)18-15(10)16(22)14-9(21)6-12(24-2)17(25-3)19(14)28-18/h4-8,20-21H,1-3H3",6.02360990823094
"InChI=1S/C20H19NO3/c1-20(2)10-9-13-15(24-20)11-16(23-4)17-18(13)21(3)14-8-6-5-7-12(14)19(17)22/h5-11H,1-4H3",5.8037136843846
"InChI=1S/C20H22O3/c1-20(2,19(21)22)23-16-12-10-15(11-13-16)18-9-5-7-14-6-3-4-8-17(14)18/h3-4,6,8,10-13,18H,5,7,9H2,1-2H3,(H,21,22)",4.45051069824697
"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3",6.17085318540029
"InChI=1S/C20H31NO6/c1-6-13(4)18(23)27-16-8-10-21-9-7-15(17(16)21)11-26-19(24)20(25,12(2)3)14(5)22/h6-7,12,14,16-17,22,25H,8-11H2,1-5H3",5.30041939424586
"InChI=1S/C21H27N5O2S/c1-14-4-5-15(11-24-14)10-16-12-25-20(26-19(16)27)23-8-9-29-13-17-6-7-18(28-17)21(2,3)22/h4-7,11-12H,8-10,13,22H2,1-3H3,(H2,23,25,26,27)",2.09017572556797
"InChI=1S/C21H27NO7/c1-6-15-11-13(2)21(4,29-14(3)23)20(26)27-12-16-7-9-22(5)10-8-17(18(16)24)28-19(15)25/h6-7,11,13,17H,1,8-10,12H2,2-5H3",5.90895830273325
"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3",5.37214636977696
"InChI=1S/C21H30O3/c1-13(22)24-15-8-10-20(2)14(12-15)4-5-16-17-6-7-19(23)21(17,3)11-9-18(16)20/h4,15-18H,5-12H2,1-3H3",3.82363866766537
"InChI=1S/C21H32O3/c1-19-11-13(12-22)18(23)10-14(19)4-5-15-16(19)6-8-20(2)17(15)7-9-21(20,3)24/h12,14-17,22,24H,4-11H2,1-3H3",3.69633548940942
"InChI=1S/C21H33NO7/c1-7-13(2)18(23)29-16-9-11-22-10-8-15(17(16)22)12-28-19(24)21(26,14(3)27-6)20(4,5)25/h7-8,14,16-17,25-26H,9-12H2,1-6H3",6.02440894536384
