"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"ClC2=CC=C(C=N2)CN1CCN/C1=N\[N+]([O-])=O",50.000000000000000
"CCC1=C(C2=C(OC(C(C)(C)C)=O)N(CCOCC3)N3C2=O)C(CC)=CC(C)=C1",50.000000000000000
"CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C",50.000000000000000
"O=C(NS(N(C(C)C)C)(=O)=O)C1=CC(N2C(C=C(C(F)(F)F)N(C)C2=O)=O)=C(F)C=C1Cl",50.000000000000000
"CCC1=C(C(NC(C2=CC=CS2)C#N)=O)SC(NCC)=N1",52.599998474121100
"CCN(CCCC)C1=C([N+]([O-])=O)C=C(C(F)(F)F)C=C1[N+]([O-])=O",53.000000000000000
"CC1CCC2(CC3CC(O2)CC=C(CC(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)C)OC1C",53.299999237060500
"O=C(C2=CN(C)N=C2C(F)(F)F)NC1=C(C(C)CC(C)C)SC=C1",54.000000000000000
"CO\N=C(C(OC)=O)/C1=C(CO/N=C(C)/C2=CC=CC(C(F)(F)F)=C2)C=CC=C1",55.299999237060500
"O=C2C(CCCCCCCCCCCC)=C(OC(C)=O)C(C1=CC=CC=C12)=O",56.000000000000000
"FC(F)(F)C1=CC([N+]([O-])=O)=C(N(CC(C)=C)CC)C([N+]([O-])=O)=C1",56.799999237060500
"O=C(CC3=CC=CC=C3)N/C(C2=C(F)C(F)=CC=C2C(F)(F)F)=N\OCC1CC1",57.000000000000000
"CCCN(C(N2C=CN=C2)=O)CCOC1=C(Cl)C=C(Cl)C=C1Cl",57.000000000000000
"O=C(NCC#N)C1=CN=CC=C1C(F)(F)F",57.700000762939500
"C12=NC=NC1=C(NCC3=CC=CC=C3)NC=N2",58.000000000000000
"O=C/1CC(C(O)=O)CC(C1=C(C2CC2)\O)=O",59.000000000000000
"ClC(C=C2)=CC=C2CCC(C#N)(CN3C=NC=N3)C1=CC=CC=C1",59.400001525878900
"O=C(N(COCC)C1=C(CC)C=CC=C1C)CCl",61.000000000000000
"O=[N+]([O-])C1=CC(C(F)(F)F)=CC([N+]([O-])=O)=C1N(CCC)CCC",62.700000762939500
"O=C1N(NC3=CC=CC=C3)C(SC)=NC(C)1C2=CC=CC=C2",63.799999237060500
"O=C(NCC)C(OC(NC1=CC=CC=C1)=O)C",65.000000000000000
"NC1=NC(N)=NC(NC2CC2)=N1",65.000000000000000
"CC1OC(C)OC(C)OC(C)O1",65.000000000000000
"CN(C(NC1=CC(Cl)=C(C)C=C1)=O)C",65.500000000000000
"O=C(N1C(C)C)N(C2=CC=CC=C2)CS/C1=N\C(C)(C)C",66.000000000000000
"CC(COC2=CC=C(OC3=CC=CC=C3)C=C2)OC1=CC=CC=N1",66.699996948242200
"O=C(N2CCOCC2)/C=C(C3=CC=C(Cl)C=C3)/C1=CC=C(OC)C(OC)=C1",67.000000000000000
"FC(F)(F)C1=CC=C(OCCCOC2=C(Cl)C=C(OC/C=C(Cl)\Cl)C=C2Cl)N=C1",68.699996948242200
"S=C1S[Mn+2]SC(NCCN1)=S",70.000000000000000
"CN(C)S(N(SC(F)(Cl)Cl)C1=CC=C(C)C=C1)(=O)=O",70.000000000000000
"CC1C(CC(C(O1)OC2C(C(C(C(C2O)O)O)O)O)N)N=C(C(=O)O)N",70.300003051757800
"CC(NC(N1CC(N(C2=CC(Cl)=CC(Cl)=C2)C1=O)=O)=O)C",71.000000000000000
"CC(C)(C(CCC1=CC=C(Cl)C=C1)(CN2C=NC=N2)O)C",72.300003051757800
"CC(C)C(C2=CN=CN=C2)(O)C1=CC=C(OC(F)(F)F)C=C1",74.000000000000000
"CN(C)C(C(C=CC=C2)=C2NS(NC(NC1=NC(OC)=CC(OC)=N1)=O)(=O)=O)=O",74.500000000000000
"C/C=C/C(OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1C(C)CCCCCC)=O",75.000000000000000
"C[C@H]([C@@H](N(C)C)CC5)O[C@H]5O[C@@H]2[C@@H](C)C(C1=C[C@]3([H])[C@](CC[C@@]4([H])[C@]([H])3C[C@H](O[C@@H]6O[C@@H](C)[C@H](OC)[C@@H](OCC)[C@H]6OC)C4)([H])[C@@]([H])1CC(O[C@@H](CC)CCC2)=O)=O",75.000000000000000
"COC1=NC(NC(NS(C2=C(C3=NN(C)N=N3)C=NN2C)(=O)=O)=O)=NC(OC)=C1",76.599998474121100
